# 公文助手内置校对词表 v1
#
# 级别：必错 = 可一键替换；疑似 = 只提示不自动改；提示 = 弱提示，可整组关闭
# 命中条件：总是 / 后接:A|B / 不后接:A|B / 前接:A|B / 不前接:A|B / 正则:...
#   「后接」「前接」由程序检查邻近字符实现，不走正则——Rust regex 不支持环视，
#   不要在「正则:」里写 (?=) (?<=)，写了也编译不过。
# 分组：错别字 近义混淆 语病 套话虚词 称谓规范 公文用语
# 启用：是/否。内置条目可改、可停用、可恢复默认，但不可删除。
#
# 以 # 开头的行与空行由解析器跳过。列之间用制表符分隔。
条目编号	错误写法	建议写法	级别	命中条件	分组	说明	启用
# ── 错别字 ────────────────────────────────────────────────────────────
TYP-001	布署	部署	必错	总是	错别字	「部署」指全局性安排，汉语中无「布署」一词	是
TYP-002	撤消	撤销	必错	总是	错别字	公文规范用「撤销」	是
TYP-003	惯彻	贯彻	必错	总是	错别字		是
TYP-004	资询	咨询	必错	总是	错别字		是
TYP-005	陪训	培训	必错	总是	错别字		是
TYP-006	恰谈	洽谈	必错	总是	错别字		是
TYP-007	胁调	协调	必错	总是	错别字		是
TYP-008	挣取	争取	必错	总是	错别字		是
TYP-009	遂步	逐步	必错	总是	错别字		是
TYP-010	曾强	增强	必错	总是	错别字		是
TYP-011	佣有	拥有	必错	总是	错别字		是
TYP-012	竟相	竞相	必错	总是	错别字	「竞相」表争着做	是
TYP-013	尊守	遵守	必错	总是	错别字		是
TYP-014	尊循	遵循	必错	总是	错别字		是
TYP-015	覆行	履行	必错	总是	错别字	履行义务，无「覆行」	是
TYP-016	会报	汇报	必错	总是	错别字		是
TYP-017	反溃	反馈	必错	总是	错别字		是
TYP-018	搓商	磋商	必错	总是	错别字		是
TYP-019	坐谈会	座谈会	必错	总是	错别字		是
TYP-020	峻工	竣工	必错	总是	错别字		是
TYP-021	拔款	拨款	必错	总是	错别字	拨＝分出，拔＝抽出	是
TYP-022	拔付	拨付	必错	总是	错别字		是
TYP-023	安照	按照	必错	总是	错别字		是
TYP-024	俱备	具备	必错	总是	错别字		是
TYP-025	近一步	进一步	必错	总是	错别字		是
TYP-026	既将	即将	必错	总是	错别字	即将＝马上	是
TYP-027	即然	既然	必错	总是	错别字	既然＝已然	是
TYP-028	关健	关键	必错	总是	错别字		是
TYP-029	自已	自己	必错	总是	错别字	己／已／巳 三字易混	是
TYP-030	各抒已见	各抒己见	必错	总是	错别字		是
TYP-031	一如即往	一如既往	必错	总是	错别字		是
TYP-032	穿流不息	川流不息	必错	总是	错别字		是
TYP-033	倍受	备受	必错	总是	错别字	备＝完全地	是
TYP-034	迫不急待	迫不及待	必错	总是	错别字		是
TYP-035	责无旁代	责无旁贷	必错	总是	错别字	贷＝推卸	是
TYP-036	再接再励	再接再厉	必错	总是	错别字	厉＝奋勉	是
TYP-037	坐阵	坐镇	必错	总是	错别字		是
TYP-038	明查暗访	明察暗访	必错	总是	错别字		是
TYP-039	规化	规划	必错	总是	错别字		是
TYP-040	分岐	分歧	必错	总是	错别字		是
TYP-041	慨括	概括	必错	总是	错别字		是
TYP-042	讫今	迄今	必错	总是	错别字	迄今＝到现在为止	是
TYP-043	不径而走	不胫而走	必错	总是	错别字		是
TYP-044	走头无路	走投无路	必错	总是	错别字		是
TYP-045	严整以待	严阵以待	必错	总是	错别字		是
TYP-046	立杆见影	立竿见影	必错	总是	错别字		是
TYP-047	变本加利	变本加厉	必错	总是	错别字		是
TYP-048	义无返顾	义无反顾	必错	总是	错别字		是
TYP-049	振耳欲聋	震耳欲聋	必错	总是	错别字		是
TYP-050	中流抵柱	中流砥柱	必错	总是	错别字		是
TYP-051	草管人命	草菅人命	必错	总是	错别字		是
TYP-052	大相径廷	大相径庭	必错	总是	错别字		是
TYP-053	纷至踏来	纷至沓来	必错	总是	错别字		是
TYP-054	凤毛鳞角	凤毛麟角	必错	总是	错别字		是
TYP-055	按排	安排	必错	总是	错别字		是
TYP-056	起动	启动	必错	总是	错别字	公文规范用「启动」	是
TYP-057	迫在眉捷	迫在眉睫	必错	总是	错别字		是
TYP-058	不加思索	不假思索	必错	总是	错别字	假＝借助	是
TYP-059	成群结对	成群结队	必错	总是	错别字		是
TYP-060	唇枪舌箭	唇枪舌剑	必错	总是	错别字		是
TYP-061	帐目	账目	必错	总是	错别字	财务事项一律用「账」	是
TYP-062	帐户	账户	必错	总是	错别字		是
TYP-063	结帐	结账	必错	总是	错别字		是
TYP-064	挂帐	挂账	必错	总是	错别字		是
TYP-065	好象	好像	必错	总是	错别字		是
TYP-066	惟一	唯一	必错	总是	错别字	现行规范词形为「唯一」	是
TYP-067	精减	精简	必错	总是	错别字	规范词形为「精简」	是
TYP-068	延用	沿用	必错	总是	错别字	规范词形为「沿用」	是
TYP-069	交待	交代	必错	总是	错别字	公文用「交代」	是
TYP-070	其它	其他	必错	总是	错别字	公文规范用「其他」	是
FML-001	兹订于	兹定于	必错	总是	公文用语	「兹定于」表定下时间	是
# ── 近义混淆（只提示，不自动替换）──────────────────────────────────
SYN-001	做出	作出	疑似	后接:决定|部署|安排|规定|说明|承诺|贡献|评价|判断|回应	近义混淆	公文习惯搭配为「作出决定／作出部署」	是
SYN-002	制订	制定	疑似	后接:法规|条例|办法|制度|政策|规划|标准	近义混淆	制定＝定而不改（法规政策）；制订＝起草可改（方案计划）	是
SYN-003	权利	权力	疑似	总是	近义混淆	权利＝公民法人所享有；权力＝职权	是
SYN-004	反应	反映	疑似	后接:情况|问题|意见|诉求|困难	近义混淆	向上级反映情况用「反映」	是
SYN-005	以至	以致	疑似	总是	近义混淆	以致＝导致（多为不良结果）；以至＝甚至、直到	是
SYN-006	须要	需要	疑似	总是	近义混淆	须要只作副词修饰动词；需要可作名词	是
SYN-007	起用	启用	疑似	后接:系统|设备|制度|新版|账号|平台	近义混淆	启用物与制度；起用人	是
SYN-008	检察	检查	疑似	不后接:院|官|机关|长	近义混淆	「检察」限于法律监督机关	是
SYN-009	法制	法治	疑似	后接:建设|思维|方式|轨道|政府|社会	近义混淆	法治＝治国方略；法制＝法律制度	是
SYN-010	绝不	决不	疑似	总是	近义混淆	决不＝表决心；绝不＝表绝对	是
SYN-011	竖立	树立	疑似	后接:形象|观念|典型|标杆|意识|导向	近义混淆	抽象事物用「树立」	是
SYN-012	收集	搜集	疑似	后接:线索|证据|情报|素材	近义混淆	需寻找的用「搜集」	是
SYN-013	拟定	拟订	疑似	后接:方案|计划|草案|意见稿	近义混淆	拟订＝起草未定；拟定＝草拟并确定	是
